,Rooms,Type,Distance,Bedroom2,Car,Landsize,Propertycount
0,2,h,2.5,2.0,1.0,126.0,4019.0
1,2,h,2.5,2.0,1.0,202.0,4019.0
2,2,h,2.5,2.0,0.0,156.0,4019.0
3,3,u,2.5,3.0,1.0,0.0,4019.0
4,3,h,2.5,3.0,0.0,134.0,4019.0
5,3,h,2.5,3.0,1.0,94.0,4019.0
6,4,h,2.5,3.0,2.0,120.0,4019.0
7,4,h,2.5,3.0,2.0,400.0,4019.0
8,2,h,2.5,4.0,2.0,201.0,4019.0
9,2,h,2.5,3.0,1.0,202.0,4019.0
10,2,h,2.5,2.0,0.0,181.0,4019.0
11,3,h,2.5,4.0,0.0,245.0,4019.0
12,2,u,2.5,2.0,1.0,4292.0,4019.0
13,4,h,2.5,6.0,0.0,230.0,4019.0
14,2,h,2.5,2.0,2.0,256.0,4019.0
15,1,u,2.5,1.0,1.0,0.0,4019.0
16,2,h,2.5,3.0,2.0,220.0,4019.0
17,2,h,2.5,2.0,1.0,176.0,4019.0
18,2,u,2.5,2.0,1.0,0.0,4019.0
19,3,h,2.5,3.0,2.0,214.0,4019.0
20,2,u,2.5,2.0,1.0,0.0,4019.0
21,2,h,2.5,2.0,1.0,195.0,4019.0
22,1,u,2.5,1.0,1.0,0.0,4019.0
23,2,h,2.5,2.0,2.0,238.0,4019.0
24,3,u,2.5,3.0,2.0,0.0,4019.0
25,3,h,2.5,3.0,1.0,113.0,4019.0
26,3,h,2.5,2.0,1.0,138.0,4019.0
27,3,h,2.5,3.0,0.0,183.0,4019.0
28,2,h,2.5,2.0,1.0,150.0,4019.0
29,4,h,2.5,4.0,2.0,780.0,4019.0
30,3,h,2.5,3.0,1.0,119.0,4019.0
31,3,t,2.5,3.0,2.0,0.0,4019.0
32,3,u,2.5,3.0,2.0,4290.0,4019.0
33,2,u,2.5,2.0,1.0,0.0,4019.0
34,2,h,2.5,2.0,1.0,124.0,4019.0
35,2,h,2.5,2.0,0.0,147.0,4019.0
36,1,u,2.5,1.0,1.0,0.0,4019.0
37,3,h,2.5,3.0,1.0,166.0,4019.0
38,1,u,2.5,1.0,1.0,0.0,4019.0
39,2,h,2.5,2.0,2.0,98.0,4019.0
40,4,h,2.5,4.0,1.0,0.0,4019.0
41,3,h,2.5,3.0,2.0,147.0,4019.0
42,3,h,2.5,3.0,1.0,168.0,4019.0
43,1,u,2.5,1.0,1.0,0.0,4019.0
44,2,h,2.5,2.0,0.0,162.0,4019.0
45,3,h,2.5,3.0,1.0,120.0,4019.0
46,2,h,2.5,2.0,0.0,182.0,4019.0
47,2,h,2.5,2.0,1.0,172.0,4019.0
48,3,t,13.5,3.0,1.0,303.0,3464.0
49,3,h,13.5,3.0,1.0,0.0,3464.0
50,3,h,13.5,3.0,1.0,0.0,3464.0
51,3,h,13.5,3.0,1.0,580.0,3464.0
52,2,h,13.5,2.0,1.0,272.0,3464.0
53,3,t,13.5,3.0,2.0,239.0,3464.0
54,3,h,13.5,2.0,1.0,290.0,3464.0
55,2,u,13.5,2.0,1.0,168.0,3464.0
56,3,h,13.5,2.0,1.0,620.0,3464.0
57,4,h,13.5,3.0,2.0,597.0,3464.0
58,6,h,13.5,6.0,2.0,976.0,3464.0
59,2,t,13.5,2.0,1.0,110.0,3464.0
60,2,u,13.5,2.0,1.0,141.0,3464.0
61,2,u,13.5,2.0,1.0,120.0,3464.0
62,3,h,13.5,3.0,6.0,1063.0,3464.0
63,3,h,13.5,3.0,1.0,0.0,3464.0
64,3,u,13.5,3.0,1.0,265.0,3464.0
65,2,u,13.5,2.0,1.0,192.0,3464.0
66,5,h,13.5,3.0,2.0,596.0,3464.0
67,3,t,13.5,3.0,2.0,165.0,3464.0
68,3,h,13.5,3.0,2.0,971.0,3464.0
69,2,u,13.5,2.0,1.0,164.0,3464.0
70,3,h,13.5,3.0,2.0,657.0,3464.0
71,2,h,13.5,2.0,1.0,612.0,3464.0
72,3,h,13.5,3.0,5.0,612.0,3464.0
73,3,h,13.5,3.0,1.0,775.0,3464.0
74,4,h,13.5,5.0,4.0,531.0,3464.0
75,3,h,13.5,3.0,2.0,555.0,3464.0
76,3,h,13.5,3.0,2.0,422.0,3464.0
77,3,h,13.5,3.0,3.0,614.0,3464.0
78,3,t,13.5,2.0,1.0,161.0,3464.0
79,3,t,13.5,3.0,1.0,293.0,3464.0
80,3,h,13.5,3.0,1.0,579.0,3464.0
81,3,h,13.5,3.0,1.0,623.0,3464.0
82,2,u,13.5,2.0,1.0,141.0,3464.0
83,3,h,13.5,3.0,1.0,212.0,3464.0
84,3,h,13.5,3.0,2.0,612.0,3464.0
85,4,h,13.5,4.0,2.0,532.0,3464.0
86,3,h,13.5,3.0,1.0,585.0,3464.0
87,4,h,13.5,4.0,2.0,509.0,3464.0
88,4,h,13.5,4.0,3.0,628.0,3464.0
89,2,h,3.3,2.0,0.0,120.0,3280.0
90,2,h,3.3,2.0,0.0,159.0,3280.0
91,3,h,3.3,3.0,0.0,211.0,3280.0
92,3,h,3.3,3.0,0.0,128.0,3280.0
93,2,h,3.3,2.0,0.0,215.0,3280.0
94,2,h,3.3,2.0,0.0,130.0,3280.0
95,3,h,3.3,2.0,1.0,336.0,3280.0
96,2,h,3.3,1.0,0.0,147.0,3280.0
97,2,h,3.3,2.0,1.0,167.0,3280.0
98,4,h,3.3,4.0,1.0,153.0,3280.0
99,3,h,3.3,3.0,2.0,316.0,3280.0
100,3,t,3.3,3.0,2.0,718.0,3280.0
101,3,h,3.3,3.0,1.0,132.0,3280.0
102,2,h,3.3,2.0,1.0,199.0,3280.0
103,3,h,3.3,3.0,1.0,253.0,3280.0
104,3,h,3.3,3.0,1.0,90.0,3280.0
105,3,h,3.3,3.0,0.0,126.0,3280.0
106,2,h,3.3,2.0,0.0,240.0,3280.0
107,3,h,3.3,3.0,1.0,177.0,3280.0
108,5,h,3.3,5.0,1.0,237.0,3280.0
109,3,h,3.3,3.0,0.0,129.0,3280.0
110,3,h,3.3,3.0,2.0,0.0,3280.0
111,2,h,3.3,2.0,0.0,288.0,3280.0
112,2,h,3.3,2.0,2.0,366.0,3280.0
113,3,h,3.3,3.0,1.0,228.0,3280.0
114,2,h,3.3,2.0,0.0,149.0,3280.0
115,2,h,3.3,2.0,1.0,152.0,3280.0
116,2,h,3.3,2.0,0.0,141.0,3280.0
117,3,h,3.3,3.0,1.0,211.0,3280.0
118,4,h,3.3,3.0,0.0,236.0,3280.0
119,3,h,3.3,3.0,2.0,300.0,3280.0
120,3,h,3.3,3.0,0.0,209.0,3280.0
121,3,h,3.3,3.0,0.0,147.0,3280.0
122,3,h,3.3,3.0,0.0,173.0,3280.0
123,4,h,3.3,4.0,1.0,327.0,3280.0
124,3,h,3.3,3.0,0.0,169.0,3280.0
125,2,u,3.3,2.0,1.0,0.0,3280.0
126,3,h,3.3,3.0,1.0,122.0,3280.0
127,3,h,3.3,2.0,1.0,120.0,3280.0
128,3,h,3.3,3.0,1.0,241.0,3280.0
129,2,h,3.3,2.0,1.0,225.0,3280.0
130,7,h,3.3,7.0,0.0,435.0,3280.0
131,3,h,3.3,3.0,1.0,238.0,3280.0
132,1,u,3.3,1.0,0.0,0.0,3280.0
133,4,h,3.3,4.0,1.0,330.0,3280.0
134,2,h,3.3,2.0,0.0,136.0,3280.0
135,3,h,3.3,3.0,1.0,202.0,3280.0
136,3,h,3.3,3.0,1.0,0.0,3280.0
137,3,h,3.3,3.0,2.0,325.0,3280.0
138,4,h,3.3,3.0,1.0,183.0,3280.0
139,2,h,3.3,2.0,1.0,162.0,3280.0
140,2,h,3.3,2.0,0.0,79.0,3280.0
141,2,h,3.3,2.0,0.0,99.0,3280.0
142,4,h,3.3,4.0,0.0,230.0,3280.0
143,3,h,3.3,3.0,1.0,141.0,3280.0
144,3,h,3.3,3.0,0.0,152.0,3280.0
145,3,h,3.3,3.0,2.0,147.0,3280.0
146,3,h,3.3,3.0,1.0,0.0,3280.0
147,1,h,3.3,1.0,0.0,81.0,3280.0
148,3,h,6.4,3.0,1.0,174.0,2211.0
149,4,h,6.4,3.0,4.0,853.0,2211.0
150,3,h,6.4,3.0,2.0,208.0,2211.0
151,3,h,6.4,3.0,2.0,411.0,2211.0
152,3,h,6.4,3.0,3.0,922.0,2211.0
153,4,h,6.4,4.0,1.0,599.0,2211.0
154,5,h,6.4,5.0,4.0,809.0,2211.0
155,5,h,6.4,5.0,4.0,743.0,2211.0
156,2,u,6.4,2.0,1.0,88.0,2211.0
157,2,t,6.4,2.0,3.0,155.0,2211.0
158,2,u,6.4,2.0,1.0,0.0,2211.0
159,3,h,6.4,3.0,2.0,686.0,2211.0
160,3,h,6.4,3.0,2.0,592.0,2211.0
161,2,u,6.4,2.0,1.0,183.0,2211.0
162,4,h,6.4,4.0,2.0,606.0,2211.0
163,4,h,6.4,4.0,2.0,575.0,2211.0
164,3,h,6.4,3.0,1.0,180.0,2211.0
165,2,u,6.4,2.0,1.0,0.0,2211.0
166,2,t,6.4,0.0,0.0,0.0,2211.0
167,2,u,6.4,2.0,1.0,0.0,2211.0
168,4,h,6.4,4.0,2.0,597.0,2211.0
169,3,h,6.4,3.0,2.0,979.0,2211.0
170,4,h,6.4,4.0,2.0,556.0,2211.0
171,5,h,6.4,5.0,2.0,552.0,2211.0
172,3,h,6.4,3.0,0.0,597.0,2211.0
173,4,h,6.4,4.0,3.0,589.0,2211.0
174,3,h,13.8,3.0,1.0,352.0,5301.0
175,5,h,13.8,5.0,3.0,729.0,5301.0
176,2,t,13.8,2.0,2.0,292.0,5301.0
177,3,h,13.8,3.0,2.0,506.0,5301.0
178,4,h,13.8,4.0,4.0,655.0,5301.0
179,4,h,13.8,4.0,6.0,1057.0,5301.0
180,3,u,13.8,2.0,2.0,311.0,5301.0
181,2,u,13.8,2.0,1.0,65.0,5301.0
182,3,h,13.8,3.0,1.0,602.0,5301.0
183,3,h,13.8,3.0,1.0,530.0,5301.0
184,2,u,13.8,2.0,1.0,225.0,5301.0
185,3,h,13.8,3.0,4.0,777.0,5301.0
186,3,t,13.8,3.0,2.0,280.0,5301.0
187,2,u,13.8,2.0,1.0,127.0,5301.0
188,4,h,13.8,4.0,2.0,695.0,5301.0
189,2,u,13.8,2.0,2.0,115.0,5301.0
190,3,u,13.8,3.0,2.0,230.0,5301.0
191,3,t,13.8,3.0,2.0,197.0,5301.0
192,2,u,13.8,2.0,1.0,0.0,5301.0
193,2,u,13.8,2.0,1.0,0.0,5301.0
194,4,h,13.8,4.0,2.0,745.0,5301.0
195,3,t,13.8,3.0,2.0,211.0,5301.0
196,3,u,13.8,3.0,1.0,69.0,5301.0
197,3,h,13.8,3.0,4.0,625.0,5301.0
198,2,u,13.8,2.0,1.0,168.0,5301.0
199,2,u,13.8,2.0,1.0,137.0,5301.0
200,3,u,13.8,3.0,1.0,70.0,5301.0
201,3,h,13.8,3.0,2.0,606.0,5301.0
202,2,u,13.8,2.0,1.0,175.0,5301.0
203,3,h,13.8,3.0,2.0,363.0,5301.0
204,3,h,13.8,3.0,2.0,534.0,5301.0
205,3,h,13.8,3.0,2.0,724.0,5301.0
206,3,t,13.8,3.0,0.0,265.0,5301.0
207,3,h,13.8,3.0,1.0,577.0,5301.0
208,3,u,13.8,3.0,1.0,205.0,5301.0
209,4,h,13.8,4.0,3.0,504.0,5301.0
210,4,h,13.8,4.0,0.0,797.0,5301.0
211,3,u,13.8,3.0,2.0,181.0,5301.0
212,2,u,13.8,2.0,1.0,117.0,5301.0
213,3,h,13.8,3.0,2.0,529.0,5301.0
214,2,h,13.8,2.0,1.0,675.0,5301.0
215,3,h,13.8,3.0,1.0,929.0,5301.0
216,3,u,13.8,3.0,1.0,70.0,5301.0
217,3,h,13.8,3.0,4.0,697.0,5301.0
218,3,h,13.8,3.0,2.0,604.0,5301.0
219,4,h,13.8,4.0,3.0,532.0,5301.0
220,2,h,13.8,2.0,1.0,154.0,5301.0
221,3,h,11.1,3.0,1.0,620.0,5132.0
222,5,h,11.1,5.0,6.0,592.0,5132.0
223,3,h,11.1,3.0,2.0,533.0,5132.0
224,3,h,11.1,3.0,3.0,554.0,5132.0
225,2,t,11.1,2.0,1.0,77.0,5132.0
226,3,h,11.1,3.0,3.0,655.0,5132.0
227,3,h,11.1,3.0,2.0,534.0,5132.0
228,3,h,11.1,3.0,3.0,540.0,5132.0
229,3,h,11.1,3.0,1.0,0.0,5132.0
230,3,h,11.1,3.0,1.0,328.0,5132.0
231,3,h,11.1,3.0,3.0,540.0,5132.0
232,4,h,11.1,3.0,4.0,559.0,5132.0
233,4,h,11.1,4.0,5.0,537.0,5132.0
234,3,h,11.1,3.0,3.0,554.0,5132.0
235,2,t,11.1,2.0,1.0,252.0,5132.0
236,4,h,11.1,4.0,4.0,558.0,5132.0
237,3,h,11.1,3.0,2.0,171.0,5132.0
238,3,h,11.1,3.0,2.0,585.0,5132.0
239,4,h,11.1,4.0,4.0,851.0,5132.0
240,3,h,11.1,3.0,3.0,551.0,5132.0
