,CouncilArea,Population Density,Rooms,Type,Price,Distance,Car,Landsize,Propertycount,Yearly Incidents Recorded
0,Banyule,2082.5,5,h,1901000.0,10.3,2.0,963.0,1651.0,7061
1,Banyule,2082.5,4,h,1650000.0,10.3,2.0,724.0,1651.0,7061
2,Banyule,2082.5,3,h,1816000.0,10.3,2.0,846.0,1651.0,7061
3,Banyule,2082.5,2,u,525000.0,10.3,1.0,79.0,1651.0,7061
4,Banyule,2082.5,4,h,2050000.0,10.3,2.0,723.0,1651.0,7061
5,Banyule,2082.5,5,h,1930000.0,10.3,1.0,939.0,1651.0,7061
6,Banyule,2082.5,2,h,2850000.0,10.3,1.0,1777.0,1651.0,7391
7,Banyule,2082.5,4,h,2600000.0,10.3,3.0,871.0,1651.0,7061
8,Banyule,2082.5,2,u,600000.0,10.3,1.0,112.0,1651.0,7061
9,Banyule,2082.5,3,h,1601000.0,10.3,1.0,872.0,1651.0,7061
10,Banyule,2082.5,3,h,1100000.0,10.3,1.0,555.0,1651.0,7061
11,Banyule,2082.5,4,h,2550000.0,10.3,2.0,1484.0,1651.0,7061
12,Banyule,2082.5,3,u,1190000.0,10.3,2.0,0.0,1651.0,7061
13,Banyule,2082.5,4,h,2012000.0,10.3,2.0,597.0,1651.0,7061
14,Banyule,2082.5,4,h,2309000.0,10.3,2.0,1177.0,1651.0,7061
15,Banyule,2082.5,2,h,815000.0,10.5,2.0,589.0,2947.0,7061
16,Banyule,2082.5,3,h,720000.0,10.5,0.0,505.0,2947.0,7391
17,Banyule,2082.5,4,h,1370000.0,10.5,4.0,481.0,2947.0,7391
18,Banyule,2082.5,2,h,757000.0,10.5,2.0,275.0,2947.0,7391
19,Banyule,2082.5,3,h,740600.0,10.5,2.0,337.0,2947.0,7061
20,Banyule,2082.5,3,h,580000.0,10.5,1.0,577.0,2947.0,7061
21,Banyule,2082.5,2,t,565000.0,10.5,1.0,201.0,2947.0,7061
22,Banyule,2082.5,5,h,1587500.0,10.5,2.0,599.0,2947.0,7061
23,Banyule,2082.5,4,h,758500.0,10.5,3.0,510.0,2947.0,7061
24,Banyule,2082.5,3,h,994000.0,10.5,2.0,807.0,2947.0,7061
25,Banyule,2082.5,3,h,725000.0,10.5,1.0,665.0,2947.0,7061
26,Banyule,2082.5,2,h,725000.0,10.5,3.0,577.0,2947.0,7061
27,Banyule,2082.5,3,h,743000.0,10.5,0.0,673.0,2947.0,7061
28,Banyule,2082.5,3,h,785000.0,10.5,0.0,592.0,2947.0,7061
29,Banyule,2082.5,3,t,620000.0,10.5,2.0,215.0,2947.0,7061
30,Banyule,2082.5,2,h,700000.0,10.5,1.0,608.0,2947.0,7061
31,Banyule,2082.5,3,t,706750.0,10.5,2.0,250.0,2947.0,7391
32,Banyule,2082.5,2,h,584000.0,10.5,1.0,428.0,2947.0,7061
33,Banyule,2082.5,3,h,909000.0,10.5,2.0,585.0,2947.0,7061
34,Banyule,2082.5,4,h,1086000.0,10.5,2.0,724.0,2947.0,7061
35,Banyule,2082.5,2,h,680000.0,10.5,1.0,605.0,2947.0,7061
36,Banyule,2082.5,2,u,440000.0,10.5,2.0,281.0,2947.0,7061
37,Banyule,2082.5,2,h,650000.0,10.5,3.0,620.0,2947.0,7061
38,Banyule,2082.5,5,h,890000.0,10.5,2.0,596.0,2947.0,7061
39,Banyule,2082.5,3,h,650000.0,10.5,2.0,582.0,2947.0,7061
40,Banyule,2082.5,3,h,659500.0,10.5,1.0,608.0,2947.0,7061
41,Banyule,2082.5,3,h,725000.0,10.5,2.0,580.0,2947.0,7061
42,Banyule,2082.5,2,u,605000.0,10.5,1.0,166.0,2947.0,7061
43,Banyule,2082.5,8,h,770000.0,10.5,4.0,638.0,2947.0,7061
44,Banyule,2082.5,3,h,950000.0,10.5,2.0,800.0,2947.0,7061
45,Banyule,2082.5,4,h,856000.0,10.5,2.0,722.0,2947.0,7061
46,Banyule,2082.5,3,h,600000.0,10.5,2.0,251.0,2947.0,7061
47,Banyule,2082.5,2,u,450000.0,10.5,1.0,0.0,2947.0,7061
48,Banyule,2082.5,2,h,1060000.0,10.5,0.0,837.0,2947.0,7391
49,Banyule,2082.5,3,h,850000.0,10.5,1.0,590.0,2947.0,7391
50,Banyule,2082.5,2,h,510000.0,10.5,2.0,244.0,2947.0,7391
51,Banyule,2082.5,3,h,1100000.0,10.5,0.0,613.0,2947.0,7391
52,Banyule,2082.5,3,h,915000.0,10.5,1.0,748.0,2947.0,7391
53,Banyule,2082.5,2,u,400000.0,10.5,1.0,127.0,2947.0,7061
54,Banyule,2082.5,2,h,526000.0,10.5,1.0,310.0,2947.0,7061
55,Banyule,2082.5,2,h,570000.0,10.5,3.0,428.0,2947.0,7061
56,Banyule,2082.5,3,h,550000.0,10.5,1.0,420.0,2947.0,7061
57,Banyule,2082.5,2,h,510000.0,10.5,1.0,174.0,2947.0,7061
58,Banyule,2082.5,2,h,590000.0,10.5,2.0,586.0,2947.0,7061
59,Banyule,2082.5,2,h,920000.0,10.5,3.0,932.0,2947.0,7061
60,Banyule,2082.5,2,h,460000.0,10.5,2.0,508.0,2947.0,7061
61,Banyule,2082.5,3,h,662500.0,10.5,4.0,552.0,2947.0,7061
62,Banyule,2082.5,4,h,1000500.0,10.5,1.0,592.0,2947.0,7061
63,Banyule,2082.5,3,h,631000.0,10.5,1.0,596.0,2947.0,7061
64,Banyule,2082.5,5,h,765000.0,9.4,2.0,415.0,2674.0,7061
65,Banyule,2082.5,3,h,691000.0,9.4,2.0,624.0,2674.0,7061
66,Banyule,2082.5,3,h,560000.0,9.4,1.0,523.0,2674.0,7061
67,Banyule,2082.5,2,h,735000.0,9.4,3.0,602.0,2674.0,7061
68,Banyule,2082.5,3,h,830000.0,9.4,0.0,643.0,2674.0,7391
69,Banyule,2082.5,3,h,330000.0,9.4,1.0,468.0,2674.0,7061
70,Banyule,2082.5,1,h,405000.0,9.4,2.0,374.0,2674.0,7061
71,Banyule,2082.5,2,t,370000.0,9.4,1.0,100.0,2674.0,7061
72,Banyule,2082.5,3,h,532000.0,9.4,1.0,390.0,2674.0,7061
73,Banyule,2082.5,3,h,740000.0,9.4,1.0,627.0,2674.0,7061
74,Banyule,2082.5,2,h,686000.0,9.4,2.0,650.0,2674.0,7061
75,Banyule,2082.5,2,h,501500.0,9.4,2.0,538.0,2674.0,7061
76,Banyule,2082.5,3,h,525500.0,9.4,1.0,605.0,2674.0,7061
77,Banyule,2082.5,3,h,525000.0,9.4,2.0,192.0,2674.0,7061
78,Banyule,2082.5,3,h,710000.0,9.4,1.0,594.0,2674.0,7061
79,Banyule,2082.5,3,h,808000.0,9.4,0.0,649.0,2674.0,7391
80,Banyule,2082.5,3,h,652000.0,9.4,0.0,589.0,2674.0,7391
81,Banyule,2082.5,2,h,515500.0,9.4,1.0,331.0,2674.0,7061
82,Banyule,2082.5,3,h,800000.0,9.4,3.0,633.0,2674.0,7061
83,Banyule,2082.5,2,h,450000.0,9.4,2.0,418.0,2674.0,7061
84,Banyule,2082.5,3,h,605000.0,9.4,4.0,0.0,2674.0,7061
85,Banyule,2082.5,2,h,620000.0,9.4,2.0,668.0,2674.0,7061
86,Banyule,2082.5,2,h,497500.0,9.4,2.0,708.0,2674.0,7061
87,Banyule,2082.5,2,u,360000.0,9.4,1.0,89.0,2674.0,7061
88,Banyule,2082.5,2,h,440500.0,9.4,1.0,368.0,2674.0,7061
89,Banyule,2082.5,4,h,758000.0,9.4,1.0,632.0,2674.0,7061
90,Banyule,2082.5,3,h,690500.0,9.4,2.0,605.0,2674.0,7061
91,Banyule,2082.5,2,h,752000.0,9.4,0.0,627.0,2674.0,7391
92,Banyule,2082.5,2,h,777000.0,9.4,0.0,649.0,2674.0,7391
93,Banyule,2082.5,2,h,680000.0,9.4,1.0,591.0,2674.0,7391
94,Banyule,2082.5,3,h,480000.0,9.4,1.0,338.0,2674.0,7061
95,Banyule,2082.5,4,h,715000.0,9.4,2.0,521.0,2674.0,7061
96,Banyule,2082.5,2,h,520000.0,9.4,2.0,594.0,2674.0,7061
97,Banyule,2082.5,3,h,646250.0,9.4,2.0,616.0,2674.0,7061
98,Banyule,2082.5,3,h,1375000.0,9.4,1.0,368.0,2674.0,7061
99,Banyule,2082.5,3,h,722000.0,9.4,2.0,593.0,2674.0,7391
100,Banyule,2082.5,2,h,715000.0,9.4,3.0,609.0,2674.0,7391
101,Banyule,2082.5,1,h,636000.0,9.4,1.0,588.0,2674.0,7061
102,Banyule,2082.5,2,h,590000.0,9.4,2.0,586.0,2674.0,7061
