Landsize,Car,Distance,Propertycount
156.0,0.0,2.5,4019.0
134.0,0.0,2.5,4019.0
120.0,2.0,2.5,4019.0
245.0,0.0,2.5,4019.0
220.0,2.0,2.5,4019.0
214.0,2.0,2.5,4019.0
0.0,1.0,2.5,4019.0
238.0,2.0,2.5,4019.0
303.0,1.0,13.5,3464.0
0.0,1.0,13.5,3464.0
0.0,1.0,13.5,3464.0
120.0,0.0,3.3,3280.0
211.0,0.0,3.3,3280.0
128.0,0.0,3.3,3280.0
81.0,0.0,3.3,3280.0
853.0,4.0,6.4,2211.0
599.0,1.0,6.4,2211.0
809.0,4.0,6.4,2211.0
311.0,2.0,13.8,5301.0
602.0,1.0,13.8,5301.0
225.0,1.0,13.8,5301.0
777.0,4.0,13.8,5301.0
315.0,4.0,11.1,5132.0
276.0,2.0,11.1,5132.0
633.0,4.0,11.1,5132.0
298.0,2.0,5.9,6567.0
277.0,2.0,5.9,6567.0
