,CouncilArea,Population Density,Rooms,Type,Price,Year,Distance,Car,Propertycount,Yearly Incidents Recorded
0,Banyule,2082.5,5,h,1901000.0,2016,10.3,2.0,1651.0,7061
1,Banyule,2082.5,4,h,1650000.0,2016,10.3,2.0,1651.0,7061
2,Banyule,2082.5,3,h,1816000.0,2016,10.3,2.0,1651.0,7061
3,Banyule,2082.5,2,u,525000.0,2016,10.3,1.0,1651.0,7061
4,Banyule,2082.5,4,h,2050000.0,2016,10.3,2.0,1651.0,7061
5,Banyule,2082.5,5,h,1930000.0,2016,10.3,1.0,1651.0,7061
6,Banyule,2082.5,2,h,2850000.0,2017,10.3,1.0,1651.0,7391
7,Banyule,2082.5,4,h,2600000.0,2016,10.3,3.0,1651.0,7061
8,Banyule,2082.5,2,u,600000.0,2016,10.3,1.0,1651.0,7061
9,Banyule,2082.5,3,h,1601000.0,2016,10.3,1.0,1651.0,7061
10,Banyule,2082.5,3,h,1100000.0,2016,10.3,1.0,1651.0,7061
11,Banyule,2082.5,4,h,2550000.0,2016,10.3,2.0,1651.0,7061
12,Banyule,2082.5,3,u,1190000.0,2016,10.3,2.0,1651.0,7061
13,Banyule,2082.5,4,h,2012000.0,2016,10.3,2.0,1651.0,7061
14,Banyule,2082.5,4,h,2309000.0,2016,10.3,2.0,1651.0,7061
15,Banyule,2082.5,2,h,815000.0,2016,10.5,2.0,2947.0,7061
16,Banyule,2082.5,3,h,720000.0,2017,10.5,0.0,2947.0,7391
17,Banyule,2082.5,4,h,1370000.0,2017,10.5,4.0,2947.0,7391
18,Banyule,2082.5,2,h,757000.0,2017,10.5,2.0,2947.0,7391
19,Banyule,2082.5,3,h,740600.0,2016,10.5,2.0,2947.0,7061
20,Banyule,2082.5,3,h,580000.0,2016,10.5,1.0,2947.0,7061
21,Banyule,2082.5,2,t,565000.0,2016,10.5,1.0,2947.0,7061
22,Banyule,2082.5,5,h,1587500.0,2016,10.5,2.0,2947.0,7061
23,Banyule,2082.5,4,h,758500.0,2016,10.5,3.0,2947.0,7061
24,Banyule,2082.5,3,h,994000.0,2016,10.5,2.0,2947.0,7061
25,Banyule,2082.5,3,h,725000.0,2016,10.5,1.0,2947.0,7061
26,Banyule,2082.5,2,h,725000.0,2016,10.5,3.0,2947.0,7061
27,Banyule,2082.5,3,h,743000.0,2016,10.5,0.0,2947.0,7061
28,Banyule,2082.5,3,h,785000.0,2016,10.5,0.0,2947.0,7061
29,Banyule,2082.5,3,t,620000.0,2016,10.5,2.0,2947.0,7061
30,Banyule,2082.5,2,h,700000.0,2016,10.5,1.0,2947.0,7061
31,Banyule,2082.5,3,t,706750.0,2017,10.5,2.0,2947.0,7391
32,Banyule,2082.5,2,h,584000.0,2016,10.5,1.0,2947.0,7061
33,Banyule,2082.5,3,h,909000.0,2016,10.5,2.0,2947.0,7061
34,Banyule,2082.5,4,h,1086000.0,2016,10.5,2.0,2947.0,7061
35,Banyule,2082.5,2,h,680000.0,2016,10.5,1.0,2947.0,7061
36,Banyule,2082.5,2,u,440000.0,2016,10.5,2.0,2947.0,7061
37,Banyule,2082.5,2,h,650000.0,2016,10.5,3.0,2947.0,7061
38,Banyule,2082.5,5,h,890000.0,2016,10.5,2.0,2947.0,7061
39,Banyule,2082.5,3,h,650000.0,2016,10.5,2.0,2947.0,7061
40,Banyule,2082.5,3,h,659500.0,2016,10.5,1.0,2947.0,7061
41,Banyule,2082.5,3,h,725000.0,2016,10.5,2.0,2947.0,7061
42,Banyule,2082.5,2,u,605000.0,2016,10.5,1.0,2947.0,7061
43,Banyule,2082.5,8,h,770000.0,2016,10.5,4.0,2947.0,7061
44,Banyule,2082.5,3,h,950000.0,2016,10.5,2.0,2947.0,7061
45,Banyule,2082.5,4,h,856000.0,2016,10.5,2.0,2947.0,7061
46,Banyule,2082.5,3,h,600000.0,2016,10.5,2.0,2947.0,7061
47,Banyule,2082.5,2,u,450000.0,2016,10.5,1.0,2947.0,7061
48,Banyule,2082.5,2,h,1060000.0,2017,10.5,0.0,2947.0,7391
49,Banyule,2082.5,3,h,850000.0,2017,10.5,1.0,2947.0,7391
50,Banyule,2082.5,2,h,510000.0,2017,10.5,2.0,2947.0,7391
51,Banyule,2082.5,3,h,1100000.0,2017,10.5,0.0,2947.0,7391
52,Banyule,2082.5,3,h,915000.0,2017,10.5,1.0,2947.0,7391
53,Banyule,2082.5,2,u,400000.0,2016,10.5,1.0,2947.0,7061
54,Banyule,2082.5,2,h,526000.0,2016,10.5,1.0,2947.0,7061
55,Banyule,2082.5,2,h,570000.0,2016,10.5,3.0,2947.0,7061
56,Banyule,2082.5,3,h,550000.0,2016,10.5,1.0,2947.0,7061
57,Banyule,2082.5,2,h,510000.0,2016,10.5,1.0,2947.0,7061
58,Banyule,2082.5,2,h,590000.0,2016,10.5,2.0,2947.0,7061
