,Rooms,Type,Price,Year,Distance,Car,CouncilArea,Propertycount,Yearly Incidents Recorded
0,2,h,1480000.0,2016,2.5,1.0,Yarra,4019.0,10211
1,2,h,1035000.0,2016,2.5,0.0,Yarra,4019.0,10211
2,3,h,1465000.0,2017,2.5,0.0,Yarra,4019.0,11076
3,3,h,850000.0,2017,2.5,1.0,Yarra,4019.0,11076
4,4,h,1600000.0,2016,2.5,2.0,Yarra,4019.0,10211
5,2,h,941000.0,2016,2.5,0.0,Yarra,4019.0,10211
6,3,h,1876000.0,2016,2.5,0.0,Yarra,4019.0,10211
7,2,h,1636000.0,2016,2.5,2.0,Yarra,4019.0,10211
8,1,u,300000.0,2016,2.5,1.0,Yarra,4019.0,10211
9,2,h,1097000.0,2016,2.5,2.0,Yarra,4019.0,10211
10,2,u,700000.0,2016,2.5,1.0,Yarra,4019.0,10211
11,3,h,1350000.0,2016,2.5,2.0,Yarra,4019.0,10211
12,2,u,750000.0,2016,2.5,1.0,Yarra,4019.0,10211
13,2,h,1172500.0,2016,2.5,1.0,Yarra,4019.0,10211
14,1,u,441000.0,2016,2.5,1.0,Yarra,4019.0,10211
15,2,h,1310000.0,2016,2.5,2.0,Yarra,4019.0,10211
16,3,h,1200000.0,2016,2.5,1.0,Yarra,4019.0,10211
17,3,h,1176500.0,2016,2.5,1.0,Yarra,4019.0,10211
18,3,h,955000.0,2016,2.5,0.0,Yarra,4019.0,10211
19,2,h,890000.0,2016,2.5,1.0,Yarra,4019.0,10211
20,4,h,1330000.0,2017,2.5,2.0,Yarra,4019.0,11076
21,3,t,900000.0,2017,2.5,2.0,Yarra,4019.0,11076
22,3,u,1090000.0,2017,2.5,2.0,Yarra,4019.0,11076
23,2,u,500000.0,2016,2.5,1.0,Yarra,4019.0,10211
24,2,h,1100000.0,2016,2.5,1.0,Yarra,4019.0,10211
25,2,h,1315000.0,2016,2.5,0.0,Yarra,4019.0,10211
26,1,u,426000.0,2016,2.5,1.0,Yarra,4019.0,10211
27,3,h,1447500.0,2016,2.5,1.0,Yarra,4019.0,10211
28,1,u,457000.0,2016,2.5,1.0,Yarra,4019.0,10211
29,2,h,1135000.0,2016,2.5,2.0,Yarra,4019.0,10211
30,4,h,1542000.0,2016,2.5,1.0,Yarra,4019.0,10211
31,3,h,1290000.0,2017,2.5,2.0,Yarra,4019.0,11076
32,3,h,1290000.0,2017,2.5,1.0,Yarra,4019.0,11076
33,1,u,470000.0,2016,2.5,1.0,Yarra,4019.0,10211
34,2,h,1180000.0,2016,2.5,0.0,Yarra,4019.0,10211
35,3,h,1195000.0,2016,2.5,1.0,Yarra,4019.0,10211
