,Distance,Car,Rooms,Propertycount,Yearly Incidents Recorded
0,2.5,0.0,2,4019.0,10211
1,2.5,0.0,3,4019.0,11076
2,2.5,2.0,4,4019.0,10211
3,2.5,0.0,3,4019.0,10211
4,2.5,2.0,2,4019.0,10211
5,2.5,2.0,2,4019.0,10211
6,2.5,2.0,3,4019.0,10211
7,2.5,1.0,2,4019.0,10211
8,2.5,2.0,2,4019.0,10211
9,2.5,1.0,3,4019.0,10211
10,2.5,1.0,3,4019.0,10211
11,2.5,1.0,2,4019.0,10211
12,2.5,2.0,4,4019.0,11076
13,2.5,1.0,2,4019.0,10211
14,2.5,1.0,2,4019.0,10211
15,2.5,0.0,2,4019.0,10211
16,2.5,1.0,3,4019.0,10211
17,2.5,2.0,2,4019.0,10211
18,2.5,1.0,3,4019.0,11076
19,2.5,1.0,1,4019.0,10211
20,2.5,0.0,2,4019.0,10211
21,2.5,1.0,3,4019.0,10211
22,2.5,0.0,2,4019.0,10211
23,2.5,1.0,2,4019.0,10211
24,13.5,1.0,3,3464.0,6921
25,13.5,1.0,3,3464.0,6921
26,13.5,1.0,3,3464.0,7585
27,13.5,1.0,2,3464.0,7585
28,13.5,2.0,3,3464.0,7585
29,13.5,1.0,3,3464.0,7585
30,13.5,1.0,2,3464.0,7585
31,13.5,2.0,6,3464.0,6921
32,13.5,1.0,2,3464.0,6921
33,13.5,1.0,2,3464.0,6921
34,13.5,1.0,2,3464.0,6921
35,13.5,6.0,3,3464.0,6921
36,13.5,1.0,3,3464.0,6921
37,13.5,1.0,3,3464.0,7585
38,13.5,2.0,3,3464.0,6921
39,13.5,2.0,3,3464.0,6921
40,13.5,1.0,2,3464.0,6921
41,13.5,5.0,3,3464.0,6921
42,13.5,4.0,4,3464.0,6921
43,13.5,2.0,3,3464.0,7585
44,13.5,2.0,3,3464.0,7585
45,13.5,1.0,3,3464.0,6921
46,13.5,1.0,3,3464.0,6921
47,13.5,1.0,3,3464.0,6921
48,13.5,3.0,4,3464.0,6921
49,3.3,0.0,2,3280.0,9669
50,3.3,0.0,3,3280.0,10310
51,3.3,0.0,3,3280.0,10310
52,3.3,0.0,2,3280.0,10310
53,3.3,1.0,4,3280.0,9669
54,3.3,1.0,3,3280.0,9669
55,3.3,1.0,2,3280.0,9669
56,3.3,1.0,3,3280.0,9669
57,3.3,1.0,3,3280.0,9669
58,3.3,2.0,3,3280.0,9669
59,3.3,0.0,2,3280.0,9669
60,3.3,0.0,2,3280.0,9669
61,3.3,1.0,3,3280.0,9669
62,3.3,0.0,3,3280.0,10310
63,3.3,1.0,4,3280.0,9669
64,3.3,1.0,3,3280.0,9669
65,3.3,1.0,3,3280.0,9669
66,3.3,0.0,1,3280.0,10310
67,3.3,1.0,4,3280.0,10310
68,3.3,1.0,4,3280.0,9669
69,3.3,0.0,2,3280.0,9669
70,3.3,2.0,3,3280.0,9669
71,3.3,0.0,1,3280.0,9669
72,6.4,4.0,4,2211.0,11612
73,6.4,1.0,4,2211.0,11612
74,6.4,4.0,5,2211.0,11612
75,6.4,1.0,2,2211.0,11612
76,6.4,3.0,2,2211.0,11612
77,6.4,2.0,4,2211.0,11612
78,6.4,2.0,4,2211.0,11612
79,6.4,1.0,3,2211.0,11612
80,6.4,1.0,2,2211.0,11612
81,6.4,1.0,2,2211.0,12872
82,6.4,2.0,4,2211.0,11612
83,6.4,3.0,4,2211.0,11612
84,13.8,1.0,3,5301.0,5500
85,13.8,3.0,5,5301.0,5500
86,13.8,2.0,2,5301.0,5500
87,13.8,2.0,3,5301.0,5306
88,13.8,6.0,4,5301.0,5500
89,13.8,2.0,3,5301.0,5500
90,13.8,1.0,3,5301.0,5500
91,13.8,1.0,2,5301.0,5500
92,13.8,4.0,3,5301.0,5500
93,13.8,1.0,2,5301.0,5500
94,13.8,2.0,2,5301.0,5500
95,13.8,1.0,2,5301.0,5306
96,13.8,2.0,4,5301.0,5306
97,13.8,1.0,3,5301.0,5500
98,13.8,1.0,2,5301.0,5500
99,13.8,2.0,3,5301.0,5500
100,13.8,1.0,2,5301.0,5500
101,13.8,2.0,3,5301.0,5306
102,13.8,1.0,3,5301.0,5500
103,13.8,1.0,2,5301.0,5500
104,13.8,1.0,3,5301.0,5500
105,13.8,1.0,2,5301.0,5500
106,11.1,6.0,5,5132.0,5500
107,11.1,2.0,3,5132.0,5500
108,11.1,1.0,2,5132.0,5306
109,11.1,2.0,3,5132.0,5500
110,11.1,1.0,3,5132.0,5500
111,11.1,1.0,3,5132.0,5500
112,11.1,3.0,3,5132.0,5500
113,11.1,4.0,4,5132.0,5500
114,11.1,2.0,3,5132.0,5500
115,11.1,2.0,3,5132.0,5500
116,11.1,4.0,4,5132.0,5500
117,11.1,2.0,3,5132.0,5500
118,11.1,1.0,3,5132.0,5500
119,11.1,1.0,3,5132.0,5500
120,11.1,3.0,3,5132.0,5306
121,11.1,4.0,4,5132.0,5500
122,11.1,1.0,2,5132.0,5500
123,6.3,1.0,2,4836.0,7852
124,6.3,2.0,3,4836.0,7852
125,6.3,2.0,3,4836.0,7852
126,6.3,2.0,3,4836.0,7852
127,6.3,1.0,3,4836.0,8842
128,6.3,2.0,3,4836.0,8842
129,6.3,1.0,3,4836.0,8842
130,6.3,1.0,3,4836.0,7852
131,6.3,1.0,1,4836.0,7852
132,6.3,1.0,1,4836.0,7852
133,6.3,1.0,2,4836.0,7852
134,6.3,0.0,2,4836.0,7852
135,6.3,2.0,4,4836.0,7852
136,6.3,2.0,3,4836.0,7852
137,6.3,2.0,4,4836.0,7852
138,6.3,4.0,6,4836.0,7852
139,6.3,1.0,1,4836.0,8842
140,6.3,2.0,3,4836.0,7852
141,6.3,1.0,2,4836.0,7852
142,6.3,1.0,2,4836.0,7852
143,6.3,2.0,3,4836.0,7852
144,6.3,1.0,2,4836.0,8842
145,6.3,1.0,2,4836.0,8842
146,6.3,2.0,3,4836.0,8842
147,6.3,1.0,2,4836.0,7852
148,6.3,2.0,4,4836.0,7852
149,6.3,3.0,4,4836.0,7852
150,6.3,2.0,3,4836.0,7852
151,6.3,2.0,3,4836.0,7852
152,6.3,1.0,3,4836.0,7852
153,6.3,1.0,1,4836.0,7852
154,5.9,2.0,3,6567.0,6921
155,5.9,1.0,2,6567.0,6921
156,5.9,2.0,3,6567.0,7585
157,5.9,1.0,2,6567.0,7585
158,5.9,1.0,4,6567.0,7585
159,5.9,2.0,3,6567.0,6921
160,5.9,1.0,2,6567.0,6921
161,5.9,2.0,6,6567.0,6921
162,5.9,1.0,2,6567.0,6921
163,5.9,1.0,2,6567.0,6921
164,5.9,1.0,3,6567.0,6921
165,5.9,2.0,3,6567.0,6921
166,5.9,1.0,2,6567.0,6921
167,5.9,1.0,2,6567.0,6921
168,5.9,2.0,2,6567.0,6921
169,5.9,2.0,3,6567.0,6921
170,5.9,1.0,2,6567.0,6921
171,5.9,1.0,4,6567.0,6921
172,5.9,1.0,3,6567.0,7585
173,5.9,2.0,3,6567.0,6921
174,5.9,2.0,3,6567.0,6921
175,5.9,1.0,1,6567.0,6921
176,5.9,2.0,3,6567.0,6921
177,5.9,2.0,4,6567.0,6921
178,5.9,1.0,3,6567.0,6921
179,5.9,5.0,4,6567.0,6921
180,5.9,1.0,2,6567.0,6921
181,5.9,2.0,4,6567.0,6921
182,5.9,1.0,6,6567.0,6921
183,5.9,1.0,2,6567.0,6921
184,5.9,1.0,3,6567.0,6921
185,5.9,1.0,3,6567.0,6921
186,5.9,2.0,3,6567.0,6921
187,5.9,2.0,4,6567.0,6921
188,5.9,1.0,2,6567.0,7585
189,5.9,1.0,2,6567.0,6921
190,5.9,2.0,3,6567.0,6921
191,5.9,2.0,3,6567.0,6921
192,5.9,1.0,2,6567.0,6921
193,5.9,0.0,4,6567.0,6921
194,5.9,1.0,3,6567.0,6921
195,5.9,1.0,3,6567.0,6921
196,5.9,1.0,4,6567.0,6921
197,5.9,1.0,2,6567.0,7585
198,5.9,1.0,4,6567.0,7585
199,5.9,2.0,3,6567.0,7585
200,5.9,2.0,3,6567.0,6921
201,5.9,1.0,3,6567.0,6921
202,5.9,1.0,3,6567.0,6921
203,5.9,3.0,2,6567.0,6921
204,5.9,1.0,2,6567.0,6921
205,5.9,2.0,3,6567.0,6921
206,5.9,1.0,3,6567.0,6921
207,5.9,1.0,3,6567.0,6921
208,5.9,2.0,2,6567.0,6921
209,5.9,4.0,4,6567.0,6921
210,11.0,2.0,4,3052.0,6023
211,11.0,2.0,3,3052.0,6023
212,11.0,4.0,3,3052.0,6023
213,11.0,2.0,3,3052.0,6023
214,11.0,2.0,3,3052.0,6023
215,11.0,2.0,3,3052.0,6023
216,11.0,4.0,8,3052.0,6023
217,11.0,2.0,3,3052.0,6023
218,11.0,2.0,3,3052.0,6023
219,11.0,3.0,3,3052.0,6023
220,11.0,2.0,4,3052.0,6023
221,11.0,2.0,3,3052.0,6023
222,11.0,3.0,3,3052.0,6023
223,11.0,2.0,5,3052.0,6793
224,11.0,2.0,3,3052.0,6023
225,11.0,2.0,5,3052.0,6023
226,11.0,2.0,3,3052.0,6023
227,11.0,4.0,4,3052.0,6793
228,11.0,3.0,3,3052.0,6793
229,11.0,1.0,3,3052.0,6023
230,11.0,1.0,2,3052.0,6023
231,11.0,2.0,4,3052.0,6023
232,11.0,4.0,5,3052.0,6023
233,11.0,3.0,4,3052.0,6023
234,11.0,2.0,4,3052.0,6023
235,11.0,2.0,4,3052.0,6023
236,11.0,1.0,3,3052.0,6023
237,12.2,2.0,4,2894.0,8739
238,12.2,2.0,2,2894.0,7634
239,12.2,2.0,4,2894.0,7634
240,12.2,2.0,2,2894.0,7634
241,12.2,4.0,3,2894.0,7634
242,12.2,1.0,3,2894.0,7634
243,12.2,2.0,4,2894.0,7634
244,12.2,1.0,2,2894.0,7634
245,12.2,3.0,3,2894.0,7634
246,12.2,1.0,4,2894.0,7634
247,12.2,2.0,5,2894.0,7634
248,12.2,1.0,2,2894.0,8739
249,12.2,2.0,4,2894.0,7634
250,12.2,2.0,2,2894.0,7634
251,12.2,1.0,2,2894.0,7634
252,12.2,1.0,3,2894.0,8739
253,12.2,1.0,3,2894.0,8739
