Rooms,Type,Price,Year,Distance,Landsize,CouncilArea,Yearly Incidents Recorded
2,h,1480000.0,2016,2.5,202.0,Yarra City Council,10211.0
2,h,1035000.0,2016,2.5,156.0,Yarra City Council,10211.0
3,h,1465000.0,2017,2.5,134.0,Yarra City Council,11076.0
3,h,850000.0,2017,2.5,94.0,Yarra City Council,11076.0
4,h,1600000.0,2016,2.5,120.0,Yarra City Council,10211.0
2,h,941000.0,2016,2.5,181.0,Yarra City Council,10211.0
3,h,1876000.0,2016,2.5,245.0,Yarra City Council,10211.0
2,h,1636000.0,2016,2.5,256.0,Yarra City Council,10211.0
3,h,1000000.0,2016,2.5,,Yarra City Council,10211.0
2,t,745000.0,2016,2.5,,Yarra City Council,10211.0
1,u,300000.0,2016,2.5,0.0,Yarra City Council,10211.0
2,h,1097000.0,2016,2.5,220.0,Yarra City Council,10211.0
2,u,542000.0,2016,2.5,,Yarra City Council,10211.0
2,u,760000.0,2016,2.5,,Yarra City Council,10211.0
1,u,481000.0,2016,2.5,,Yarra City Council,10211.0
2,u,700000.0,2016,2.5,0.0,Yarra City Council,10211.0
3,h,1350000.0,2016,2.5,214.0,Yarra City Council,10211.0
2,u,750000.0,2016,2.5,0.0,Yarra City Council,10211.0
4,h,1985000.0,2016,2.5,,Yarra City Council,10211.0
1,u,500000.0,2016,2.5,,Yarra City Council,10211.0
2,h,1172500.0,2016,2.5,195.0,Yarra City Council,10211.0
1,u,441000.0,2016,2.5,0.0,Yarra City Council,10211.0
2,h,1310000.0,2016,2.5,238.0,Yarra City Council,10211.0
3,h,1200000.0,2016,2.5,113.0,Yarra City Council,10211.0
2,t,847000.0,2016,2.5,,Yarra City Council,10211.0
3,h,1176500.0,2016,2.5,138.0,Yarra City Council,10211.0
3,h,955000.0,2016,2.5,183.0,Yarra City Council,10211.0
2,h,890000.0,2016,2.5,150.0,Yarra City Council,10211.0
4,h,1330000.0,2017,2.5,780.0,Yarra City Council,11076.0
3,t,900000.0,2017,2.5,0.0,Yarra City Council,11076.0
3,u,1090000.0,2017,2.5,4290.0,Yarra City Council,11076.0
2,u,500000.0,2016,2.5,0.0,Yarra City Council,10211.0
2,h,1100000.0,2016,2.5,124.0,Yarra City Council,10211.0
2,h,1315000.0,2016,2.5,147.0,Yarra City Council,10211.0
1,u,480000.0,2016,2.5,,Yarra City Council,10211.0
1,u,423500.0,2016,2.5,,Yarra City Council,10211.0
1,u,426000.0,2016,2.5,0.0,Yarra City Council,10211.0
3,h,1447500.0,2016,2.5,166.0,Yarra City Council,10211.0
1,u,457000.0,2016,2.5,0.0,Yarra City Council,10211.0
2,h,1135000.0,2016,2.5,98.0,Yarra City Council,10211.0
2,h,700000.0,2016,2.5,,Yarra City Council,10211.0
4,h,1542000.0,2016,2.5,0.0,Yarra City Council,10211.0
3,t,962000.0,2017,2.5,,Yarra City Council,11076.0
3,h,1290000.0,2017,2.5,147.0,Yarra City Council,11076.0
3,h,1290000.0,2017,2.5,168.0,Yarra City Council,11076.0
1,u,470000.0,2016,2.5,0.0,Yarra City Council,10211.0
2,h,1180000.0,2016,2.5,162.0,Yarra City Council,10211.0
3,h,1195000.0,2016,2.5,120.0,Yarra City Council,10211.0
2,h,1012500.0,2016,2.5,182.0,Yarra City Council,10211.0
2,u,970000.0,2016,2.5,,Yarra City Council,10211.0
2,h,1030000.0,2016,2.5,172.0,Yarra City Council,10211.0
3,h,927000.0,2016,2.5,,Yarra City Council,10211.0
3,t,840000.0,2016,13.5,303.0,Moonee Valley City Council,6921.0
3,h,730000.0,2016,13.5,0.0,Moonee Valley City Council,6921.0
3,h,770000.0,2017,13.5,0.0,Moonee Valley City Council,7585.0
2,h,603000.0,2017,13.5,272.0,Moonee Valley City Council,7585.0
3,t,700000.0,2017,13.5,239.0,Moonee Valley City Council,7585.0
3,h,600000.0,2017,13.5,290.0,Moonee Valley City Council,7585.0
2,u,500000.0,2017,13.5,168.0,Moonee Valley City Council,7585.0
2,t,420000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,t,500000.0,2016,13.5,,Moonee Valley City Council,6921.0
5,h,1035000.0,2016,13.5,,Moonee Valley City Council,6921.0
4,h,960000.0,2016,13.5,,Moonee Valley City Council,6921.0
4,h,960000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,h,720000.0,2016,13.5,620.0,Moonee Valley City Council,6921.0
4,h,785000.0,2016,13.5,597.0,Moonee Valley City Council,6921.0
6,h,725000.0,2016,13.5,976.0,Moonee Valley City Council,6921.0
2,t,450000.0,2016,13.5,110.0,Moonee Valley City Council,6921.0
2,u,515000.0,2016,13.5,141.0,Moonee Valley City Council,6921.0
3,h,680000.0,2016,13.5,,Moonee Valley City Council,6921.0
2,u,530000.0,2016,13.5,120.0,Moonee Valley City Council,6921.0
3,h,895000.0,2016,13.5,1063.0,Moonee Valley City Council,6921.0
3,u,600000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,h,805000.0,2016,13.5,0.0,Moonee Valley City Council,6921.0
3,t,760000.0,2016,13.5,,Moonee Valley City Council,6921.0
3,u,752000.0,2017,13.5,265.0,Moonee Valley City Council,7585.0
3,u,580000.0,2016,13.5,,Moonee Valley City Council,6921.0
