Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2024,March,1 North West Metro,Banyule,"6,168","4,633.9"
2024,March,1 North West Metro,Brimbank,"13,401","6,762.3"
2024,March,1 North West Metro,Darebin,"10,916","6,848.3"
2024,March,1 North West Metro,Hobsons Bay,"4,660","4,910.0"
2024,March,1 North West Metro,Hume,"14,031","5,188.7"
2024,March,1 North West Metro,Maribyrnong,"8,107","8,634.8"
2024,March,1 North West Metro,Melbourne,"27,835","14,379.7"
2024,March,1 North West Metro,Melton,"9,858","4,589.3"
2024,March,1 North West Metro,Merri-bek,"10,289","5,453.9"
2024,March,1 North West Metro,Moonee Valley,"6,551","5,015.4"
2024,March,1 North West Metro,Nillumbik,"1,269","2,005.4"
2024,March,1 North West Metro,Whittlesea,"10,112","4,023.7"
2024,March,1 North West Metro,Wyndham,"14,447","4,292.9"
2024,March,1 North West Metro,Yarra,"10,482","10,433.9"
2024,March,1 North West Metro,Total,"148,126","6,097.9"
2024,March,2 Eastern,Alpine,330,"2,501.4"
2024,March,2 Eastern,Bass Coast,"2,223","5,127.5"
2024,March,2 Eastern,Baw Baw,"3,362","5,492.1"
2024,March,2 Eastern,Benalla,"1,025","7,017.9"
2024,March,2 Eastern,Boroondara,"5,982","3,359.5"
2024,March,2 Eastern,East Gippsland,"3,850","7,796.0"
2024,March,2 Eastern,Greater Shepparton,"5,921","8,530.8"
2024,March,2 Eastern,Indigo,464,"2,606.0"
2024,March,2 Eastern,Knox,"7,351","4,510.1"
2024,March,2 Eastern,Latrobe,"8,820","11,225.0"
2024,March,2 Eastern,Manningham,"3,796","2,879.0"
2024,March,2 Eastern,Mansfield,363,"3,388.2"
2024,March,2 Eastern,Maroondah,"5,583","4,699.0"
2024,March,2 Eastern,Mitchell,"3,005","5,371.0"
2024,March,2 Eastern,Moira,"1,749","5,631.0"
2024,March,2 Eastern,Monash,"10,308","4,904.1"
2024,March,2 Eastern,Murrindindi,569,"3,654.7"
2024,March,2 Eastern,South Gippsland,"1,455","4,699.1"
2024,March,2 Eastern,Strathbogie,445,"3,834.8"
2024,March,2 Eastern,Towong,204,"3,245.2"
2024,March,2 Eastern,Wangaratta,"1,930","6,411.6"
2024,March,2 Eastern,Wellington,"3,186","6,856.6"
2024,March,2 Eastern,Whitehorse,"7,555","4,151.9"
2024,March,2 Eastern,Wodonga,"3,218","7,196.5"
2024,March,2 Eastern,Yarra Ranges,"4,872","3,053.3"
2024,March,2 Eastern,Total,"87,566","4,934.9"
2024,March,3 Southern Metro,Bayside,"4,349","4,048.9"
2024,March,3 Southern Metro,Cardinia,"5,169","3,973.6"
2024,March,3 Southern Metro,Casey,"17,585","4,367.2"
2024,March,3 Southern Metro,Frankston,"11,190","7,753.4"
2024,March,3 Southern Metro,Glen Eira,"6,141","3,822.4"
2024,March,3 Southern Metro,Greater Dandenong,"14,295","8,578.6"
2024,March,3 Southern Metro,Kingston,"9,342","5,606.9"
2024,March,3 Southern Metro,Mornington Peninsula,"7,705","4,512.4"
2024,March,3 Southern Metro,Port Phillip,"10,048","8,884.0"
2024,March,3 Southern Metro,Stonnington,"8,904","7,675.7"
2024,March,3 Southern Metro,Total,"94,728","5,644.4"
2024,March,4 Western,Ararat,"1,016","8,671.4"
2024,March,4 Western,Ballarat,"9,321","7,761.1"
2024,March,4 Western,Buloke,250,"4,158.7"
2024,March,4 Western,Campaspe,"2,874","7,515.1"
2024,March,4 Western,Central Goldfields,948,"6,936.2"
2024,March,4 Western,Colac-Otway,"1,162","5,187.3"
2024,March,4 Western,Corangamite,592,"3,707.0"
2024,March,4 Western,Gannawarra,690,"6,645.6"
2024,March,4 Western,Glenelg,"1,240","6,186.1"
2024,March,4 Western,Golden Plains,553,"2,108.8"
2024,March,4 Western,Greater Bendigo,"8,244","6,573.9"
2024,March,4 Western,Greater Geelong,"16,855","5,849.4"
2024,March,4 Western,Hepburn,553,"3,303.8"
2024,March,4 Western,Hindmarsh,234,"4,210.3"
2024,March,4 Western,Horsham,"1,774","8,735.0"
2024,March,4 Western,Loddon,348,"4,503.1"
2024,March,4 Western,Macedon Ranges,"1,516","2,831.0"
2024,March,4 Western,Mildura,"6,096","10,530.5"
2024,March,4 Western,Moorabool,"1,823","4,574.9"
2024,March,4 Western,Mount Alexander,849,"4,079.2"
2024,March,4 Western,Moyne,487,"2,738.1"
2024,March,4 Western,Northern Grampians,752,"6,323.2"
2024,March,4 Western,Pyrenees,282,"3,581.2"
2024,March,4 Western,Queenscliffe,63,"1,873.9"
2024,March,4 Western,Southern Grampians,941,"5,685.7"
2024,March,4 Western,Surf Coast,999,"2,522.5"
2024,March,4 Western,Swan Hill,"1,442","6,808.2"
2024,March,4 Western,Warrnambool,"2,322","6,428.2"
2024,March,4 Western,West Wimmera,142,"3,626.6"
2024,March,4 Western,Yarriambiack,357,"5,618.9"
2024,March,4 Western,Total,"64,725","5,963.3"
2024,March,Justice Institutions and Immigration Facilities,Justice Institutions and Immigration Facilities,969,
2024,March,Justice Institutions and Immigration Facilities,Total,969,
2024,March,Unincorporated Vic,Unincorporated Vic,95,
2024,March,Unincorporated Vic,Total,95,
2023,March,1 North West Metro,Banyule,"5,524","4,262.3"
2023,March,1 North West Metro,Brimbank,"12,426","6,338.3"
2023,March,1 North West Metro,Darebin,"9,669","6,210.7"
2023,March,1 North West Metro,Hobsons Bay,"4,619","4,927.6"
2023,March,1 North West Metro,Hume,"12,962","4,932.9"
2023,March,1 North West Metro,Maribyrnong,"6,821","7,433.4"
2023,March,1 North West Metro,Melbourne,"25,019","14,103.5"
