Year,CouncilArea,Yearly Incidents Recorded,"Yearly Rate per 100,000 population"
2023,Banyule City Council,6007,4541
2023,Bayside City Council,4240,3975
2023,Boroondara City Council,5921,3342
2023,Brimbank City Council,13158,6656
2023,Cardinia City Council,5045,3899
2023,Casey City Council,17069,4265
2023,Darebin City Council,10605,6689
2023,Frankston City Council,10759,7472
2023,Glen Eira City Council,6002,3756
2023,Greater Dandenong City Council,14075,8482
2023,Hobsons Bay City Council,4649,4915
2023,Hume City Council,13763,5125
2023,Kingston City Council,9002,5424
2023,Knox City Council,7210,4431
2023,Manningham City Council,3608,2746
2023,Maribyrnong City Council,7786,8335
2023,Maroondah City Council,5516,4656
2023,Melbourne City Council,27131,14311
2023,Melton City Council,9559,4492
2023,Merri-bek City Council,10072,5390
2023,Monash City Council,10037,4811
2023,Moonee Valley City Council,6369,4913
2023,Nillumbik City Council,1244,1964
2023,Port Phillip City Council,9988,8902
2023,Stonnington City Council,8803,7665
2023,Whittlesea City Council,9875,3953
2023,Wyndham City Council,14283,4283
2023,Yarra City Council,10245,10271
2022,Banyule City Council,5450,4222
2022,Bayside City Council,3769,3630
2022,Boroondara City Council,5662,3266
2022,Brimbank City Council,12390,6341
2022,Cardinia City Council,4623,3668
2022,Casey City Council,15193,3906
2022,Darebin City Council,9565,6194
2022,Frankston City Council,9175,6440
2022,Glen Eira City Council,5441,3496
2022,Greater Dandenong City Council,12898,7924
2022,Hobsons Bay City Council,4611,4943
2022,Hume City Council,12756,4898
2022,Kingston City Council,7685,4718
2022,Knox City Council,6743,4182
2022,Manningham City Council,2997,2326
2022,Maribyrnong City Council,6868,7576
2022,Maroondah City Council,5256,4492
2022,Melbourne City Council,25005,14470
2022,Melton City Council,8689,4287
2022,Merri-bek City Council,9353,5207
2022,Monash City Council,8989,4460
2022,Moonee Valley City Council,5870,4673
2022,Nillumbik City Council,1202,1902
2022,Port Phillip City Council,9640,8912
2022,Stonnington City Council,8321,7553
2022,Whittlesea City Council,9103,3745
2022,Wyndham City Council,13353,4164
2022,Yarra City Council,9342,9710
2021,Banyule City Council,5493,4311
2021,Bayside City Council,3457,3380
2021,Boroondara City Council,5563,3278
2021,Brimbank City Council,12839,6608
2021,Cardinia City Council,4733,3876
2021,Casey City Council,14702,3906
2021,Darebin City Council,9806,6515
2021,Frankston City Council,8776,6221
2021,Glen Eira City Council,5268,3477
2021,Greater Dandenong City Council,12060,7560
2021,Hobsons Bay City Council,4554,4952
2021,Hume City Council,12971,5162
2021,Kingston City Council,7106,4443
2021,Knox City Council,7028,4397
2021,Manningham City Council,2985,2362
2021,Maribyrnong City Council,7021,8043
2021,Maroondah City Council,5235,4519
2021,Melbourne City Council,25209,15915
2021,Melton City Council,9045,4763
2021,Merri-bek City Council,9393,5382
2021,Monash City Council,8606,4426
2021,Moonee Valley City Council,6030,4900
2021,Nillumbik City Council,1364,2160
2021,Port Phillip City Council,9395,9041
2021,Stonnington City Council,8078,7589
2021,Whittlesea City Council,9551,4055
2021,Wyndham City Council,12200,3988
2021,Yarra City Council,9284,10076
2020,Banyule City Council,6530,5094
2020,Bayside City Council,3917,3801
2020,Boroondara City Council,6095,3546
2020,Brimbank City Council,14753,7429
2020,Cardinia City Council,5441,4580
2020,Casey City Council,16472,4475
2020,Darebin City Council,11579,7619
2020,Frankston City Council,10425,7383
2020,Glen Eira City Council,6039,3983
2020,Greater Dandenong City Council,14341,8880
2020,Hobsons Bay City Council,4569,4911
2020,Hume City Council,15578,6331
2020,Kingston City Council,8290,5164
2020,Knox City Council,8426,5227
2020,Manningham City Council,3463,2739
2020,Maribyrnong City Council,7112,8161
2020,Maroondah City Council,5758,4937
2020,Melbourne City Council,26185,16652
2020,Melton City Council,9735,5426
2020,Merri-bek City Council,10379,5924
2020,Monash City Council,9568,4911
2020,Moonee Valley City Council,6260,5051
