,Rooms,Type,Price,Year,Distance,Bedroom2,Car,Landsize,CouncilArea,Propertycount
0,2,h,1035000.0,2016,2.5,2.0,0.0,156.0,Yarra,4019.0
1,3,h,1465000.0,2017,2.5,3.0,0.0,134.0,Yarra,4019.0
2,4,h,1600000.0,2016,2.5,3.0,2.0,120.0,Yarra,4019.0
3,3,h,1876000.0,2016,2.5,4.0,0.0,245.0,Yarra,4019.0
4,2,h,1636000.0,2016,2.5,2.0,2.0,256.0,Yarra,4019.0
5,2,h,1097000.0,2016,2.5,3.0,2.0,220.0,Yarra,4019.0
6,3,h,1350000.0,2016,2.5,3.0,2.0,214.0,Yarra,4019.0
7,2,u,750000.0,2016,2.5,2.0,1.0,0.0,Yarra,4019.0
8,2,h,1310000.0,2016,2.5,2.0,2.0,238.0,Yarra,4019.0
9,3,h,1200000.0,2016,2.5,3.0,1.0,113.0,Yarra,4019.0
10,3,h,1176500.0,2016,2.5,2.0,1.0,138.0,Yarra,4019.0
11,2,h,890000.0,2016,2.5,2.0,1.0,150.0,Yarra,4019.0
12,4,h,1330000.0,2017,2.5,4.0,2.0,780.0,Yarra,4019.0
13,2,u,500000.0,2016,2.5,2.0,1.0,0.0,Yarra,4019.0
14,2,h,1100000.0,2016,2.5,2.0,1.0,124.0,Yarra,4019.0
15,2,h,1315000.0,2016,2.5,2.0,0.0,147.0,Yarra,4019.0
16,3,h,1447500.0,2016,2.5,3.0,1.0,166.0,Yarra,4019.0
17,2,h,1135000.0,2016,2.5,2.0,2.0,98.0,Yarra,4019.0
18,3,h,1290000.0,2017,2.5,3.0,1.0,168.0,Yarra,4019.0
19,1,u,470000.0,2016,2.5,1.0,1.0,0.0,Yarra,4019.0
20,2,h,1180000.0,2016,2.5,2.0,0.0,162.0,Yarra,4019.0
21,3,h,1195000.0,2016,2.5,3.0,1.0,120.0,Yarra,4019.0
22,2,h,1012500.0,2016,2.5,2.0,0.0,182.0,Yarra,4019.0
23,2,h,1030000.0,2016,2.5,2.0,1.0,172.0,Yarra,4019.0
24,3,t,840000.0,2016,13.5,3.0,1.0,303.0,Moonee Valley,3464.0
25,3,h,730000.0,2016,13.5,3.0,1.0,0.0,Moonee Valley,3464.0
26,3,h,770000.0,2017,13.5,3.0,1.0,0.0,Moonee Valley,3464.0
27,2,h,603000.0,2017,13.5,2.0,1.0,272.0,Moonee Valley,3464.0
28,3,t,700000.0,2017,13.5,3.0,2.0,239.0,Moonee Valley,3464.0
29,3,h,600000.0,2017,13.5,2.0,1.0,290.0,Moonee Valley,3464.0
30,2,u,500000.0,2017,13.5,2.0,1.0,168.0,Moonee Valley,3464.0
31,6,h,725000.0,2016,13.5,6.0,2.0,976.0,Moonee Valley,3464.0
